timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1775665431298,369,JFED/j/collect?v=1&_v=j102&a=680972634&t=pageview&_s=1&dl=https%3A%2F%2Fjfed.ilabt.imec.be%2F&ul=en-us&dt=jFed&sr=1493x933&vp=1493x825&_u=IEBAAEABAAAAACAAI~&jid=2017552000&gjid=1960718617&cid=1217445905.1775665163&tid=UA-57217745-2&_gid=417259628.1775665163&_r=1&_slc=1&z=1753482569-165,200,OK,JFED100 2-2,text,true,,921,748,3,8,https://www.google-analytics.com/j/collect?v=1&_v=j102&a=680972634&t=pageview&_s=1&dl=https%3A%2F%2Fjfed.ilabt.imec.be%2F&ul=en-us&dt=jFed&sr=1493x933&vp=1493x825&_u=IEBAAEABAAAAACAAI~&jid=2017552000&gjid=1960718617&cid=1217445905.1775665163&tid=UA-57217745-2&_gid=417259628.1775665163&_r=1&_slc=1&z=1753482569,369,0,229
1775665431426,338,JFED/update/3/GMP/149.0/20260325145817/Linux_x86_64-gcc3/en-US/release-cck-fedora/Linux%25206.19.10-200.fc43.x86_64%2520(GTK%25203.24.52%252Clibpulse%252017.0.0)/fedora/1.0/update.xml-145,200,OK,JFED100 2-3,text,true,,1970,459,3,8,https://aus5.mozilla.org/update/3/GMP/149.0/20260325145817/Linux_x86_64-gcc3/en-US/release-cck-fedora/Linux%25206.19.10-200.fc43.x86_64%2520(GTK%25203.24.52%252Clibpulse%252017.0.0)/fedora/1.0/update.xml,338,0,114
1775665431667,1079,JFED/gtag/js-166,200,OK,JFED100 2-1,text,false,"The operation lasted too long: It took 1,079 milliseconds, but should not have lasted longer than 600 milliseconds.",148884,428,3,9,https://www.googletagmanager.com/gtag/js?id=G-2N3FKQQJXJ&cx=c&_slc=1,103,0,0
1775665431765,1074,JFED/g/chains/202402/aus.content-signature.mozilla.org-2026-05-16-09-42-02.chain-146,200,OK,JFED100 2-3,text,false,"The operation lasted too long: It took 1,074 milliseconds, but should not have lasted longer than 600 milliseconds.",5809,332,3,9,https://content-signature-2.cdn.mozilla.net/g/chains/202402/aus.content-signature.mozilla.org-2026-05-16-09-42-02.chain,1074,0,397
1775665432747,391,JFED/g/collect?v=2&tid=G-2N3FKQQJXJ&gtm=45je6470v9109451552za20g&_p=1775665163795&gcd=13l3l3l3l2l1&npa=0&dma=0&_eu=ABAI&cid=1217445905.1775665163&frm=0&pscdl=noapi&sr=1493x933&ul=en-us&_s=1&tag_exp=0~115616986~115938465~115938468~116991817&dl=https%3A%2F%2Fjfed.ilabt.imec.be%2F&dt=jFed&sid=1775665167&sct=1&seg=0&_tu=wAQ&en=page_view&_fv=1&_ss=1&_ee=1&tfd=19064-167,204,No Content,JFED100 2-1,text,true,,834,895,3,9,https://www.google-analytics.com/g/collect?v=2&tid=G-2N3FKQQJXJ&gtm=45je6470v9109451552za20g&_p=1775665163795&gcd=13l3l3l3l2l1&npa=0&dma=0&_eu=ABAI&cid=1217445905.1775665163&frm=0&pscdl=noapi&sr=1493x933&ul=en-us&_s=1&tag_exp=0~115616986~115938465~115938468~116991817&dl=https%3A%2F%2Fjfed.ilabt.imec.be%2F&dt=jFed&sid=1775665167&sct=1&seg=0&_tu=wAQ&en=page_view&_fv=1&_ss=1&_ee=1&tfd=19064,0,0,0
1775665431668,1849,JFED/gtag/js-166,200,OK,JFED100 2-2,text,false,"The operation lasted too long: It took 1,849 milliseconds, but should not have lasted longer than 600 milliseconds.",148884,428,3,9,https://www.googletagmanager.com/gtag/js?id=G-2N3FKQQJXJ&cx=c&_slc=1,400,0,200
1775665433139,474,JFED/get_started/-168,200,OK,JFED100 2-1,text,true,,2582,499,3,9,https://jfed.ilabt.imec.be/get_started/,474,0,0
1775665433518,102,JFED/g/collect?v=2&tid=G-2N3FKQQJXJ&gtm=45je6470v9109451552za20g&_p=1775665163795&gcd=13l3l3l3l2l1&npa=0&dma=0&_eu=ABAI&cid=1217445905.1775665163&frm=0&pscdl=noapi&sr=1493x933&ul=en-us&_s=1&tag_exp=0~115616986~115938465~115938468~116991817&dl=https%3A%2F%2Fjfed.ilabt.imec.be%2F&dt=jFed&sid=1775665167&sct=1&seg=0&_tu=wAQ&en=page_view&_fv=1&_ss=1&_ee=1&tfd=19064-167,204,No Content,JFED100 2-2,text,true,,834,895,3,9,https://www.google-analytics.com/g/collect?v=2&tid=G-2N3FKQQJXJ&gtm=45je6470v9109451552za20g&_p=1775665163795&gcd=13l3l3l3l2l1&npa=0&dma=0&_eu=ABAI&cid=1217445905.1775665163&frm=0&pscdl=noapi&sr=1493x933&ul=en-us&_s=1&tag_exp=0~115616986~115938465~115938468~116991817&dl=https%3A%2F%2Fjfed.ilabt.imec.be%2F&dt=jFed&sid=1775665167&sct=1&seg=0&_tu=wAQ&en=page_view&_fv=1&_ss=1&_ee=1&tfd=19064,0,0,0
1775665433614,192,JFED/j/collect?v=1&_v=j102&a=235271294&t=pageview&_s=1&dl=https%3A%2F%2Fjfed.ilabt.imec.be%2Fget_started%2F&ul=en-us&dt=Get%20Started&sr=1493x933&vp=1493x825&_u=AACAAEABAAAAACAAI~&jid=&gjid=&cid=1217445905.1775665163&tid=UA-57217745-2&_gid=417259628.1775665163&_slc=1&z=75945156-176,200,OK,JFED100 2-1,text,true,,921,744,3,9,https://www.google-analytics.com/j/collect?v=1&_v=j102&a=235271294&t=pageview&_s=1&dl=https%3A%2F%2Fjfed.ilabt.imec.be%2Fget_started%2F&ul=en-us&dt=Get%20Started&sr=1493x933&vp=1493x825&_u=AACAAEABAAAAACAAI~&jid=&gjid=&cid=1217445905.1775665163&tid=UA-57217745-2&_gid=417259628.1775665163&_slc=1&z=75945156,192,0,0
1775665432842,964,JFED/-148,400,Bad Request,JFED100 2-3,text,false,"The operation lasted too long: It took 964 milliseconds, but should not have lasted longer than 600 milliseconds.",229,1547,3,9,https://mozilla-ohttp.fastly-edge.com/,964,0,583
